ef0,f0,ef1,f1,ef2,f2,ef4,f4,ef8,f8
-77.17187111682628,936.8868471016266,-77.17187111682628,850.4609664578472,-77.17187111682628,923.3418902353727,-77.17187111682628,930.8244429978392,-77.17187111682628,935.2632963859027
-77.17147111682627,936.9940077607511,-77.17147111682627,850.6028991358464,-77.17147111682627,923.4497226707607,-77.17147111682627,930.9314012434409,-77.17147111682627,935.3700327155607
-77.17107111682627,937.1009370951045,-77.17107111682627,850.7446318535365,-77.17107111682627,923.557327553006,-77.17107111682627,931.0381296705208,-77.17107111682627,935.4765379914639
-77.17067111682627,937.2076350394758,-77.17067111682627,850.8861645255462,-77.17067111682627,923.664704816503,-77.17067111682627,931.1446282139551,-77.17067111682627,935.5828121486174
-77.17027111682627,937.3141015287906,-77.17027111682627,851.0274970666215,-77.17027111682627,923.7718543957852,-77.17027111682627,931.2508968087594,-77.17027111682627,935.6888551221665
-77.16987111682627,937.420336498114,-77.16987111682627,851.1686293916259,-77.16987111682627,923.87877622552,-77.16987111682627,931.3569353900873,-77.16987111682627,935.7946668473942
-77.16947111682627,937.5263398826512,-77.16947111682627,851.3095614155375,-77.16947111682627,923.9854702405131,-77.16947111682627,931.4627438932303,-77.16947111682627,935.9002472597244
-77.16907111682627,937.6321116177456,-77.16907111682627,851.4502930534527,-77.16907111682627,924.0919363757059,-77.16907111682627,931.5683222536164,-77.16907111682627,936.005596294718
-77.16867111682627,937.7376516388798,-77.16867111682627,851.5908242205854,-77.16867111682627,924.1981745661783,-77.16867111682627,931.6736704068159,-77.16867111682627,936.1107138880762
-77.16827111682628,937.8429598816776,-77.16827111682628,851.7311548322642,-77.16827111682628,924.3041847471455,-77.16827111682628,931.7787882885351,-77.16827111682628,936.2155999756405
-77.16787111682628,937.9480362818997,-77.16787111682628,851.8712848039369,-77.16787111682628,924.4099668539603,-77.16787111682628,931.8836758346181,-77.16787111682628,936.3202544933889
-77.16747111682628,938.0528807754483,-77.16747111682628,852.0112140511652,-77.16747111682628,924.5155208221136,-77.16747111682628,931.9883329810507,-77.16747111682628,936.4246773774414
-77.16707111682628,938.1574932983629,-77.16707111682628,852.150942489632,-77.16707111682628,924.6208465872311,-77.16707111682628,932.0927596639528,-77.16707111682628,936.5288685640562
-77.16667111682628,938.261873786826,-77.16667111682628,852.2904700351331,-77.16667111682628,924.7259440850768,-77.16667111682628,932.1969558195871,-77.16667111682628,936.63282798963
-77.16627111682628,938.3660221771553,-77.16627111682628,852.4297966035851,-77.16627111682628,924.8308132515521,-77.16627111682628,932.300921384352,-77.16627111682628,936.7365555907019
-77.16587111682628,938.4699384058118,-77.16587111682628,852.5689221110205,-77.16587111682628,924.9354540226954,-77.16587111682628,932.4046562947872,-77.16587111682628,936.8400513039466
-77.16547111682627,938.573622409395,-77.16547111682627,852.7078464735866,-77.16547111682627,925.0398663346832,-77.16547111682627,932.5081604875683,-77.16547111682627,936.9433150661827
-77.16507111682627,938.6770741246439,-77.16507111682627,852.8465696075532,-77.16507111682627,925.1440501238277,-77.16507111682627,932.6114338995134,-77.16507111682627,937.0463468143643
